package_name,offer_desc,offer_name,IIP_name,Estimated Payout(cents),campaign_start,campaign_end
com.plarium.vikings,Install and reach Palace level 12.,Vikings: War of Clans Android App,adscendMedia,399.0,20190313.0,20190522.0
com.chagmagames.watchkit,Install and Reach Level 35.,Watch Kit Android App,adscendMedia,8.4,20190315.0,20190617.0
mappstreet.nearbymapp,"स्थापित करें, लॉन्च करें और 2 के मेनू में से किसी एक स्थान पर क्लिक करें।",Nearby Mapp Android App,adscendMedia,1.375,20190314.0,20190425.0
in.droom.online_obv_app,स्थापित करें और लॉन्च करें।,OBV Android App,adscendMedia,3.875,20190315.0,20190506.0
in.droom.online_obv_app,स्थापित करें और लॉन्च करें।,OBV Android App,adscendMedia,6.0,20190315.0,20190506.0
mappstreet.ViuT,एक लेख स्थापित करें और खोलें।,VuiT - Movies & TV Android App,adscendMedia,1.375,20190306.0,20190411.0
com.taskbucks.taskbucks,स्थापित करें और रजिस्टर करें।,Get Wallet Cash & Recharge Android App,adscendMedia,7.0,20190306.0,20190608.0
mappstreet.freestreet,स्थापित करें और 6 मिनट के लिए खेलें।,Freestreet Games Android App,adscendMedia,1.375,20190306.0,20190606.0
haygot.togyah.app,स्थापित करें और लॉन्च करें,Toppr - Learning app for classes 5th to 12th Android App,adscendMedia,6.0,20190314.0,20190325.0
mappstreet.nearbymapp,"स्थापित करें, लॉन्च करें और 2 के मेनू में से किसी एक स्थान पर क्लिक करें।",Nearby Mapp Android App,adscendMedia,1.375,20190314.0,20190425.0
in.droom.online_obv_app,स्थापित करें और लॉन्च करें।,OBV Android App,adscendMedia,6.0,20190315.0,20190506.0
mappstreet.videotimer,Установите и нажмите кнопку воспроизведения.,Video Timer Android App,adscendMedia,1.75,20190306.0,20190428.0
mappstreet.funny_jump,Установите и играйте 6 минут.,Bouncy Birds Android App,adscendMedia,1.75,20190306.0,20190415.0
mappstreet.mohjong_solitaire,Установите и играйте 6 минут.,Mohjong Solitaire Android App,adscendMedia,1.75,20190305.0,20190428.0
mappstreet.horoscope,"Download, Install and read the horoscope to get rewarded",My Horoscope Android App,adscendMedia,1.5,20190307.0,20190429.0
mappstreet.sokoban,Install and play a game for 3 minutes.,Sokoban Android App,adscendMedia,1.125,20190305.0,20190617.0
mappstreet.mohjong_solitaire,"Download, open and play for 3 minutes to get rewarded",Mohjong Solitaire Android App,adscendMedia,1.125,20190305.0,20190428.0
mappstreet.spacelive,Install and read an article.,Space Live Android App,adscendMedia,1.75,20190305.0,20190429.0
com.cashtime,Install + Open + Reach 300 coins,Cash Time - Earn Money - Android,adscendMedia,23.625,20190305.0,20190617.0
com.perblue.disneyheroes,Install and Reach level 10.,Disney Heroes: Battle Mode Android App,adscendMedia,46.875,20190306.0,20190520.0
com.mediamol.pigquiz,Install and reach 300 coins.,Golden Pig Android App,adscendMedia,31.5,20190306.0,20190617.0
com.perblue.portalquest,"Install the app, open and complete level 10 to earn a reward. Must be a new user.",Portal Quest Android App,adscendMedia,55.0,20190306.0,20190515.0
com.fgmt.reversi,Install and launch the app to be rewarded.,Reversi Android App,adscendMedia,5.25,20190312.0,20190405.0
com.bahrigames.juicefresh,Install and Reach level 35.,Bahri Juice Fresh Android App,adscendMedia,14.0,20190305.0,20190617.0
com.mediamol.moneytree,Install and Reach 300 coins.,Money Tree - Grow Real Money Android App,adscendMedia,31.5,20190313.0,20190617.0
com.mediamol.pigquiz,Install and reach 300 coins.,Golden Pig Android App,adscendMedia,23.625,20190306.0,20190617.0
com.perblue.portalquest,"Install the app, open and complete level 10 to earn a reward. Must be a new user.",Portal Quest Android App,adscendMedia,49.875,20190306.0,20190515.0
com.fgmt.reversi,Install and launch the app to be rewarded.,Reversi Android App,adscendMedia,3.875,20190312.0,20190405.0
com.bahrigames.juicefresh,Install and Reach level 35.,Bahri Juice Fresh Android App,adscendMedia,10.5,20190305.0,20190617.0
com.mediamol.moneytree,Install and Reach 300 coins.,Money Tree - Grow Real Money Android App,adscendMedia,23.625,20190313.0,20190617.0
mappstreet.horoscope,"Download, Install and read the horoscope to get rewarded",My Horoscope Android App,adscendMedia,1.5,20190307.0,20190429.0
mappstreet.sokoban,Install and play a game for 3 minutes.,Sokoban Android App,adscendMedia,1.125,20190305.0,20190617.0
mappstreet.mohjong_solitaire,"Download, open and play for 3 minutes to get rewarded",Mohjong Solitaire Android App,adscendMedia,1.125,20190305.0,20190428.0
mappstreet.spacelive,Install and read an article.,Space Live Android App,adscendMedia,1.75,20190305.0,20190429.0
com.cashtime,Install + Open + Reach 300 coins,Cash Time - Earn Money - Android,adscendMedia,23.625,20190305.0,20190617.0
com.perblue.disneyheroes,Install and Reach level 10.,Disney Heroes: Battle Mode Android App,adscendMedia,46.875,20190306.0,20190520.0
com.mediamol.pigquiz,Install and reach 300 coins.,Golden Pig Android App,adscendMedia,31.5,20190306.0,20190617.0
com.perblue.portalquest,"Install the app, open and complete level 10 to earn a reward. Must be a new user.",Portal Quest Android App,adscendMedia,55.0,20190306.0,20190515.0
com.fgmt.reversi,Install and launch the app to be rewarded.,Reversi Android App,adscendMedia,5.25,20190312.0,20190405.0
com.bahrigames.juicefresh,Install and Reach level 35.,Bahri Juice Fresh Android App,adscendMedia,14.0,20190305.0,20190617.0
com.mediamol.moneytree,Install and Reach 300 coins.,Money Tree - Grow Real Money Android App,adscendMedia,31.5,20190313.0,20190617.0
com.cashtime,Install and Reach 300 coins.,Cash Time - Das Prämienspiel Android App,adscendMedia,37.8,20190305.0,20190617.0
com.igg.android.lordsmobile,Install and Reach Castle level 11.,Lords Mobile: War Kingdom Android App,adscendMedia,210.0,20190305.0,20190617.0
com.evogames.slavsforvk,Install and Reach level 10.,Harvest Land Android App,adscendMedia,33.75,20190305.0,20190617.0
mappstreet.gerdooter,Instalar y jugar durante al menos 6 minutos.,Gerdooter Android App,adscendMedia,1.375,20190316.0,20190411.0
mappstreet.gerdooter,Instalar y jugar durante al menos 6 minutos.,Gerdooter Android App,adscendMedia,1.375,20190316.0,20190411.0
com.plarium.vikings,Install and reach Palace level 12.,Vikings: War of Clans Android App,adscendMedia,399.0,20190313.0,20190522.0
com.ncaa.mmlive.app,"Install, Register and Fill out a tournament bracket. Get your reward for every bracket completed!",NCAA March Madness Live Android App,adscendMedia,25.8,20190319.0,20190320.0
leyi.blazeofbattle,Install and reach dragon level 5.,Blaze of Battle Android App,adscendMedia,189.0,20190319.0,20190404.0
com.surveysampling.mobile.quickthoughts,Erste Umfrage installieren und abschließen.,QuickThoughts Android App,adscendMedia,71.4,20190306.0,20190617.0
com.cashtime,Installiere und erreiche 300 Punkte.,Cash Time - Earn Money Android App,adscendMedia,27.6,20190305.0,20190617.0
com.chagmagames.watchkit,Install and Reach Level 35.,Watch Kit Android App,adscendMedia,8.4,20190315.0,20190617.0
com.plarium.vikings,Install and reach palace level 12.,Vikings: War of Clans Android App,adscendMedia,399.0,20190313.0,20190522.0
com.igg.android.lordsmobile,Install and Hit Monster Level 2.,Lords Mobile Android App,adscendMedia,438.0,20190305.0,20190617.0
com.perblue.portalquest,"Install the app, open and complete level 10 to earn a reward. Must be a new user.",Portal Quest Android App,adscendMedia,79.8,20190306.0,20190515.0
